disease;term_count
Alveolar capillary dysplasia;4
Alveolar osteitis;12
Alveolar soft part sarcoma;1
Alzheimer's disease;41
Amalgam tattoo;4
Amaurosis fugax;33
Amblyopia;7
Amelia (birth defect);4
Amelogenesis imperfecta;1
Amenorrhea;12
Ammonia poisoning;1
Amnesia;22
Amniotic band constriction;6
Amniotic fluid embolism;3
Amoebiasis;12
Amoebic liver abscess;7
Amphistomiasis;7
Amputation;5
Amusia;8
Amyloidosis;36
Amyoplasia;4
Amyotrophic lateral sclerosis;32
Anal cancer;4
Anal fissure;9
Anal fistula;11
Analgesic nephropathy;7
Anaphylaxis;41
Anaplasmosis;7
Anaplastic astrocytoma;5
Anaplastic large-cell lymphoma;7
Anaplastic thyroid cancer;2
Ancylostomiasis;3
Andersen–Tawil syndrome;12
Androgen deficiency;18
Androgen insensitivity syndrome;6
Anemia;56
Anemia of chronic disease;2
Anencephaly;6
Aneuploidy;3
Aneurysm;18
Aneurysm of sinus of Valsalva;5
Aneurysmal bone cyst;5
Angelman syndrome;15
Angina;39
Angiodysplasia;7
Angioedema;24
Angioimmunoblastic T-cell lymphoma;8
Angiokeratoma;10
Angioma;1
Angiomatosis;5
Angiomyolipoma;10
Angiostrongyliasis;25
Angular cheilitis;51
Anhedonia;15
Animal bite;3
Animal trypanosomiasis;5
Aniseikonia;9
Anismus;13
Anisocoria;15
Ankle fracture;2
Ankyloglossia;1
Ankylosing spondylitis;21
Ankylosis;5
Annual ryegrass toxicity;1
Annular pancreas;6
Anomalous pulmonary venous connection;11
Anomic aphasia;8
Anophthalmia;6
Anorectal abscess;9
Anorectal varices;4
Anorexia (symptom);17
Anorexia nervosa;75
Anorgasmia;16
Anosognosia;18
Anovulation;11
Antepartum bleeding;19
Anterior cerebral artery syndrome;6
Anterior compartment syndrome;6
Anterior cruciate ligament injury;11
Anterior cutaneous nerve entrapment syndrome;9
Anterior spinal artery syndrome;15
Anterograde amnesia;20
Anthrax;30
Antidepressant discontinuation syndrome;18
Antiphospholipid syndrome;13
Antisocial personality disorder;21
Antisynthetase syndrome;3
Antithrombin III deficiency;6
Antley–Bixler syndrome;4
Anton–Babinski syndrome;9
Anxiety disorder;31
Aortic aneurysm;9
Aortic dissection;36
Aortic insufficiency;19
Aortic stenosis;32
Aortitis;5
Aortoenteric fistula;2
Aortoiliac occlusive disease;2
Apert syndrome;3
Aphasia;20
Aphthous stomatitis;40
Aplastic anemia;20
Apnea of prematurity;4
Apneustic respirations;6
Appendicitis;45
Apraxia;9
Apraxia of speech;12
Aprosodia;5
Aquagenic pruritus;2
Aquagenic urticaria;10
Arachnodactyly;2
Arachnoid cyst;26
Arachnoiditis;12
Arachnophobia;6
Arbovirus;25
Arcuate uterus;6
Arcus senilis;2
Aromatase deficiency;12
Aromatase excess syndrome;7
Arrhythmogenic right ventricular dysplasia;20
Arsenic poisoning;21
Arterial embolism;25
Arterial tortuosity syndrome;4
Arteriosclerosis;4
Arteriovenous fistula;1
Arteriovenous malformation;31
Arteritic anterior ischemic optic neuropathy;9
Arteritis;17
Arthralgia;10
Arthritis;40
Arthrogryposis;15
Arthropathy;7
Asbestosis;2
Ascariasis;13
Ascending cholangitis;21
Ascites;24
Aseptic meningitis;18
Asherman's syndrome;10
Aspartylglucosaminuria;10
Asperger syndrome;6
Aspergilloma;8
Aspergillosis;13
Asphyxia;14
Asphyxiating thoracic dysplasia;6
Aspiration pneumonia;15
Aspirin exacerbated respiratory disease;17
Aspirin-induced asthma;18
Asplenia;1
Asplenia with cardiovascular anomalies;5
Astigmatism;11
Astrocytoma;10
Astrogliosis;4
Asymptomatic inflammatory prostatitis;2
Asystole;11
Ataxia-telangiectasia;54
Ataxic respiration;2
Atelectasis;15
Atelosteogenesis, type II;2
Atheroma;12
Atherosclerosis;27
Athetoid cerebral palsy;17
Athetosis;21
Athlete's foot;18
Athletic heart syndrome;15
Athletic pubalgia;11
Atlanta race riot;2
Atopic dermatitis;10
Atopy;4
ATR-16 syndrome;7
Atransferrinemia;5
Atrial fibrillation;48
Atrial flutter;14
Atrial septal defect;14
Atrioventricular reentrant tachycardia;6
Atrioventricular septal defect;20
Atrophic vaginitis;14
Attention deficit hyperactivity disorder;60
Attention deficit hyperactivity disorder predominantly inattentive;11
Atypical depression;8
Atypical ductal hyperplasia;2
Atypical facial pain;38
Atypical pneumonia;8
Atypical teratoid rhabdoid tumor;10
Atypical trigeminal neuralgia;7
Auditory hallucination;9
Auditory processing disorder;17
Autism;8
Autism spectrum;7
Autoimmune autonomic ganglionopathy;9
Autoimmune disease;2
Autoimmune encephalitis;21
Autoimmune hemolytic anemia;8
Autoimmune hepatitis;15
Autoimmune hypophysitis;8
Autoimmune inner ear disease;11
Autoimmune lymphoproliferative syndrome;19
Autoimmune neutropenia;9
Autoimmune oophoritis;12
Autoimmune polyendocrine syndrome;3
Autoimmune polyendocrine syndrome type 1;5
Autoimmune polyendocrine syndrome type 2;2
Autoimmune thyroiditis;16
Autoimmunity;1
Autonomic dysreflexia;23
Autosomal dominant cerebellar ataxia;7
Autosomal dominant nocturnal frontal lobe epilepsy;6
Autosomal dominant polycystic kidney disease;9
Autosomal recessive polycystic kidney disease;6
Autotopagnosia;12
AV nodal reentrant tachycardia;15
Avascular necrosis;6
Avoidant personality disorder;12
Avoidant/restrictive food intake disorder;2
Axenfeld syndrome;2
Azotemia;13
Baastrup's sign;3
Babesiosis;39
Baby colic;48
Bacillary angiomatosis;8
Bacillary dysentery;1
Back pain;27
Bacteremia;8
Bacterial blight of cotton;2
Bacterial cold water disease;4
Bacterial pneumonia;9
Bacterial vaginosis;13
Bacteriuria;10
Bad breath;4
Bagassosis;4
Baker's cyst;12
Balance disorder;52
Balanitis;9
Balantidiasis;2
Balkan endemic nephropathy;4
Baller–Gerold syndrome;7
Balo concentric sclerosis;7
Band keratopathy;4
Bangstad syndrome;8
Bankart lesion;1
Bannayan–Riley–Ruvalcaba syndrome;4
Barakat syndrome;12
Bardet–Biedl syndrome;27
Bare lymphocyte syndrome;1
Baritosis;3
Barotrauma;16
Barraquer–Simons syndrome;10
Barrett's esophagus;10
Barth syndrome;7
Bartholin's cyst;4
Bartonellosis;32
Bartter syndrome;13
Basal-cell carcinoma;9
Basilar skull fracture;6
Basophilia;11
Batten disease;17
Becker's muscular dystrophy;14
Beckwith–Wiedemann syndrome;6
Bed bug infestation;15
Beech bark disease;2
Behçet's disease;60
Behr syndrome;10
Bell's palsy;20
Benedikt syndrome;9
Benign familial neonatal seizures;5
Benign fasciculation syndrome;20
Benign fibrous histiocytoma;7
Benign paroxysmal positional vertigo;28
Benign prostatic hyperplasia;29
Benign tumor;4
BENTA disease;5
Benzodiazepine dependence;20
Benzodiazepine overdose;24
Benzodiazepine use disorder;31
Benzodiazepine withdrawal syndrome;53
Berdon syndrome;1
Bernard–Soulier syndrome;6
Berylliosis;7
Beta thalassemia;24
Beta-ketothiolase deficiency;6
Bethlem myopathy;4
Bezold's abscess;7
Bickerstaff brainstem encephalitis;9
Bicornuate uterus;8
Bicuspid aortic valve;4
Bietti's crystalline dystrophy;1
Bilateral frontoparietal polymicrogyria;11
Bilateral hilar lymphadenopathy;1
Bile acid malabsorption;7
Biliary atresia;10
Biliary colic;18
Biliary dyskinesia;4
Biliary fistula;4
Biliary reflux;6
Biliary sludge;4
Binge drinking;5
Binswanger's disease;18
Biotin deficiency;19
Biotinidase deficiency;14
Bipolar disorder;44
Bipolar disorder in children;5
Bipolar disorder not otherwise specified;2
Bipolar II disorder;28
Bird fancier's lung;8
Birdshot chorioretinopathy;6
Birth defect;41
Birth trauma (physical);2
Birt–Hogg–Dubé syndrome;7
Bisphosphonate-associated osteonecrosis of the jaw;10
Bitemporal hemianopsia;2
Bitot's spots;3
Bitter pit;1
Black hairy tongue;8
Black sigatoka;4
Blackwater fever;8
Bladder cancer;20
Bladder exstrophy;2
Bladder sphincter dyssynergia;3
Bladder stone;16
Blastic NK cell lymphoma;2
Blastocystosis;21
Blastomycosis;27
Bleeding;9
Bleeding diathesis;25
Blepharitis;29
Blepharochalasis;4
Blepharospasm;6
Blind loop syndrome;8
Blindsight;2
Blister;5
Blister beetle dermatitis;3
Bloom syndrome;17
Blount's disease;3
Blue baby syndrome;9
Blue diaper syndrome;5
Blue rubber bleb nevus syndrome;2
Bluetongue disease;9
Blunt trauma;4
Bobble-head doll syndrome;11
Body dysmorphic disorder;10
Body odor;1
Boehm syndrome;2
Boerhaave syndrome;19
Boil;20
Bone fracture;14
Bone pain;9
Bone tumor;4
Borderline personality disorder;42
Börjeson-Forssman-Lehmann syndrome;21
Bornholm disease;6
Boron deficiency (plant disorder);1
Botulism;26
Boutonneuse fever;10
Bovine malignant catarrhal fever;2
Bovine spongiform encephalopathy;17
Bowel infarction;3
Bowel obstruction;21
Bowen's disease;5
Boxer's fracture;3
Brachial plexus injury;10
Brain abscess;20
Brain herniation;5
Brain ischemia;18
Brain metastasis;11
Brain tumor;35
Brainstem glioma;11
Branch retinal vein occlusion;6
Branchial cleft cyst;4
Branchio-oculo-facial syndrome;5
Braxton Hicks contractions;3
Brazilian purpuric fever;2
Breast cancer;24
Breast cyst;11
Breast hematoma;11
Breast hypertrophy;3
Breast lump;3
Breast pain;20
Breech birth;4
Brenner tumour;1
Brief reactive psychosis;3
Brodie abscess;8
Bromism;14
Bronchiectasis;19
Bronchiolitis;10
Bronchiolitis obliterans;12
Bronchitis;9
Bronchoconstriction;8
Bronchomalacia;6
Bronchopulmonary dysplasia;1
Bronchospasm;2
Brown Willy effect;1
Brown's syndrome;2
Brown-Séquard syndrome;14
Brown–Vialetto–Van Laere syndrome;16
Brucellosis;33
Brugada syndrome;14
Bruise;19
Brunner syndrome;1
Bruns apraxia;14
Bruxism;44
Bubonic plague;17
Buccal exostosis;2
Budd–Chiari syndrome;14
Bulbar palsy;12
Bulimia nervosa;34
Bullous keratopathy;1
Bullous pemphigoid;9
Bullwhip effect;2
Bundle branch block;4
Bunion;2
Buphthalmos;5
Burn;23
Burning feet syndrome;9
Burning mouth syndrome;45
Bursitis;14
Buruli ulcer;10
Buschke–Ollendorff syndrome;2
Byssinosis;6
Cachexia;6
Cadang-cadang;2
CADASIL;12
Café au lait spot;3
Calcaneal fracture;7
Calcaneal spur;5
Calcific tendinitis;5
Calcification;4
Calcifying odontogenic cyst;3
Calcinosis cutis;7
Calciphylaxis;14
Calcium channel blocker toxicity;11
Calcium deficiency (plant disorder);2
Calculus (medicine);3
Callus;5
Camelpox;8
Campomelic dysplasia;4
Camptodactyly;2
Campylobacteriosis;24
Camurati–Engelmann disease;19
Canavan disease;7
Cancer;24
Cancer of unknown primary origin;8
Candida hypersensitivity;3
Candidiasis;33
Canine degenerative myelopathy;6
Canine epileptoid cramping syndrome;7
Cannabinoid hyperemesis syndrome;29
Cannabis use disorder;11
Capacitor plague;4
Capgras delusion;7
Capillary leak syndrome;17
Caplan's syndrome;7
Caput succedaneum;1
Carbamoyl phosphate synthetase I deficiency;4
Carbon monoxide poisoning;46
Carbuncle;11
Carcinoid;8
Carcinoid syndrome;13
Carcinoma;4
Cardiac arrest;35
Cardiac fibroma;13
Cardiac myxoma;31
Cardiac tamponade;23
Cardiofaciocutaneous syndrome;2
Cardiogenic shock;23
Cardiomegaly;28
Cardiomyopathy;20
Carney complex;5
Carnitine palmitoyltransferase I deficiency;3
Carnitine palmitoyltransferase II deficiency;18
Carnitine-acylcarnitine translocase deficiency;7
Carnosinemia;4
Caroli disease;13
Carotenosis;2
Carotid artery dissection;9
Carotid artery stenosis;11
Carotid-cavernous fistula;12
Carpal tunnel syndrome;31
Carpenter syndrome;12
Carrion's disease;29
Cartilage–hair hypoplasia;2
Caspase-8 deficiency;6
Cassava brown streak virus disease;3
Castleman's disease;14
Cat eye syndrome;5
Cat-scratch disease;19
Catalepsy;5
Catamenial pneumothorax;2
Cataplexy;11
Cataract;9
Catatonia;25
Catecholaminergic polymorphic ventricular tachycardia;16
Catel–Manzke syndrome;5
Cauda equina syndrome;14
Caudal regression syndrome;4
Cauliflower ear;2
Cavernous hemangioma;21
Cavernous liver haemangioma;11
Cavernous sinus thrombosis;24
Cellulite;1
Cellulitis;34
Central cord syndrome;9
Central core disease;6
Central diabetes insipidus;5
Central facial palsy;10
Central nervous system cavernous hemangioma;10
Central nervous system cyst;11
Central nervous system disease;51
Central nervous system viral disease;5
Central neurocytoma;10
Central neurogenic hyperventilation;24
Central pain syndrome;9
Central pontine myelinolysis;16
Central retinal artery occlusion;4
Central serous retinopathy;7
Central sleep apnea;26
Centronuclear myopathy;8
Cephalic presentation;2
Cephalohematoma;8
Cephalopelvic disproportion;2
Cerebellar ataxia;4
Cerebellar cognitive affective syndrome;21
Cerebellar hypoplasia;5
Cerebellar hypoplasia (non-human);4
Cerebellopontine angle syndrome;5
Cerebral amyloid angiopathy;4
Cerebral arteriovenous malformation;19
Cerebral contusion;10
Cerebral edema;12
Cerebral hypoxia;33
Cerebral infarction;7
Cerebral laceration;1
Cerebral salt-wasting syndrome;28
Cerebral softening;5
Cerebral vasculitis;37
Cerebral venous sinus thrombosis;25
Cerebritis;20
Cerebroretinal microangiopathy with calcifications and cysts;14
Cerebrotendineous xanthomatosis;1
Cerebrovascular disease;25
Cervical agenesis;4
Cervical cancer;23
Cervical fracture;11
Cervical incompetence;2
Cervical intraepithelial neoplasia;9
Cervical polyp;7
Cervical pregnancy;5
Cervical spine disorder;23
Cervical weakness;3
Cervicitis;2
Cetacean stranding;12
Chagas disease;19
Chalazion;7
Chance fracture;1
Chancroid;14
Charcot–Marie–Tooth disease;21
CHARGE syndrome;3
Charley horse;3
Chédiak–Higashi syndrome;11
Chemical burn;4
Chemical pneumonitis;5
Chemotherapy-induced acral erythema;6
Cherry hemangioma;4
Cherubism;7
Chiari malformation;46
Chickenpox;30
Chikungunya;31
Chilaiditi syndrome;3
Chilblains;5
CHILD syndrome;1
Childbirth;5
Childhood absence epilepsy;2
Childhood arthritis;5
Childhood cancer;1
Childhood disintegrative disorder;5
Childhood obesity;6
Childlessness;5
Chlamydia infection;26
Chloracne;4
Chlorine gas poisoning;18
Choanal atresia;4
Choke (horse);2
Choking;4
Cholangiocarcinoma;16
Cholecystitis;30
Choledochal cysts;11
Cholera;23
Cholestasis;9
Cholesteatoma;13
Cholesterol embolism;36
Cholinergic urticaria;21
Chondroblastoma;6
Chondrocalcinosis;6
Chondrodystrophy;8
Chondromalacia patellae;6
Chondrosarcoma;6
Chorangioma;2
Chorangiosis;1
Chordee;2
Chorea;13
Chorea acanthocytosis;4
Chorea gravidarum;4
Chorioamnionitis;5
Choriocarcinoma;10
Choroid plexus papilloma;5
Choroideremia;2
Chromium deficiency;4
Chromoblastomycosis;6
Chromosome 5q deletion syndrome;2
Chronic allograft nephropathy;2
Chronic atrophic rhinitis;10
Chronic bacterial prostatitis;3
Chronic cerebrospinal venous insufficiency;4
Chronic diarrhea of infancy;1
Chronic fatigue syndrome;44
Chronic gastritis;13
Chronic granulomatous disease;7
Chronic inflammatory demyelinating polyneuropathy;32
Chronic kidney disease;43
Chronic lymphocytic leukemia;20
Chronic mountain sickness;7
Chronic mucocutaneous candidiasis;3
Chronic myelogenous leukemia;19
Chronic myelomonocytic leukemia;15
Chronic neutrophilic leukemia;5
Chronic obstructive pulmonary disease;35
Chronic pain;11
Chronic pancreatitis;18
Chronic paroxysmal hemicrania;9
Chronic periodontitis;10
Chronic progressive external ophthalmoplegia;19
Chronic prostatitis/chronic pelvic pain syndrome;27
Chronic pulmonary aspergillosis;8
Chronic recurrent multifocal osteomyelitis;2
Chronic traumatic encephalopathy;25
Chronic venous insufficiency;20
Chronic wasting disease;2
Chrysanthemum white rust;2
Chylomicron retention disease;3
Chylothorax;1
Chyluria;4
Cicatricial pemphigoid;3
Ciguatera;18
Ciguatera fish poisoning;18
Circulatory collapse;8
Cirrhosis;65
Citrullinemia;11
Citrus black spot;1
Citrus greening disease;4
Claudication;5
Clavicle fracture;9
Clear-cell sarcoma;5
Cleft lip and cleft palate;18
Cleidocranial dysostosis;4
Clitoromegaly;7
Closed head injury;12
Closed-head injury;12
Clostridial necrotizing enteritis;11
Clostridium difficile infection;10
Clouston's hidrotic ectodermal dysplasia;4
Clubfoot;3
Cluster headache;23
Clutch (sports);1
COACH syndrome;13
Coagulopathy;27
Coalworker's pneumoconiosis;1
Coarctation of the aorta;21
Coats' disease;16
Cobb syndrome;14
Cocaine dependence;25
Cocaine intoxication;29
Coccidioidomycosis;26
Coccydynia;8
Cockayne syndrome;15
Coeliac disease;41
Coffin–Lowry syndrome;6
Cogan syndrome;9
Cohen syndrome;12
Cold agglutinin disease;2
Cold urticaria;7
Colitis;20
Collagenous colitis;8
Colles' fracture;2
Collie eye anomaly;4
Colloid cyst;4
Coloboma;9
Coloboma of optic nerve;5
Colony collapse disorder;1
Color blindness;23
Colorado tick fever;2
Colorectal cancer;15
Columnaris;6
Combat stress reaction;14
Combined hyperlipidemia;4
Common cold;20
Common root rot (barley);1
Common root rot (wheat);1
Common variable immunodeficiency;22
Commotio cordis;2
Communication disorder;3
Compartment syndrome;29
Complement deficiency;3
Complex partial status epilepticus;2
Complex regional pain syndrome;33
Compound heterozygosity;3
Compulsive hoarding;20
Concussion;34
Conduct disorder;13
Conduction aphasia;11
Conductive hearing loss;15
Cone dystrophy;12
Confabulation;9
Congenital absence of the vas deferens;2
Congenital adrenal hyperplasia;23
Congenital adrenal hyperplasia due to 11β-hydroxylase deficiency;5
Congenital afibrinogenemia;5
Congenital amegakaryocytic thrombocytopenia;1
Congenital amputation;3
Congenital cataract;7
Congenital chloride diarrhea;5
Congenital contractural arachnodactyly;1
Congenital cytomegalovirus infection;14
Congenital diaphragmatic hernia;3
Congenital disorder of glycosylation;12
Congenital distal spinal muscular atrophy;9
Congenital dyserythropoietic anemia;4
Congenital fourth nerve palsy;9
Congenital generalized lipodystrophy;13
Congenital heart defect;20
Congenital hepatic fibrosis;2
Congenital hypothyroidism;10
Congenital ichthyosiform erythroderma;3
Congenital insensitivity to pain;4
Congenital insensitivity to pain with anhidrosis;2
Congenital iodine deficiency syndrome;2
Congenital melanocytic nevus;3
Congenital mirror movement disorder;4
Congenital muscular dystrophy;21
Congenital myasthenic syndrome;1
Congenital myopathy;15
Congenital nephrotic syndrome;13
Congenital pulmonary airway malformation;12
Congenital rubella syndrome;8
Congenital self-healing reticulohistiocytosis;9
Congenital stenosis of vena cava;3
Congenital syphilis;18
Congestive hepatopathy;16
Conjugate gaze palsy;6
Conjunctival squamous cell carcinoma;2
Conjunctivitis;32
Conjunctivochalasis;5
Conradi–Hünermann syndrome;3
Constrictive pericarditis;13
Contact dermatitis;14
Contact granuloma;17
Control reversal;2
Convergence insufficiency;6
Conversion disorder;28
Convulsion;17
Coral bleaching;1
Cord colitis syndrome;1
Corn (medicine);4
Cornea verticillata;1
Corneal abrasion;9
Corneal hydrops;1
Corneal neovascularization;6
Corneal ulcer;11
Corneal ulcers in animals;20
Corneal-cerebellar syndrome;2
Cornelia de Lange Syndrome;20
Coronary artery aneurysm;1
Coronary artery disease;19
Corpus luteum cyst;4
Cortical blindness;11
Cortical deafness;3
Corticobasal degeneration;24
Costochondritis;15
Cotard delusion;6
Cotton fever;17
Cowden syndrome;8
Cracked tooth syndrome;9
Cradle cap;5
Craniodiaphyseal dysplasia;3
Craniometaphyseal dysplasia;1
Craniopharyngioma;17
Craniosynostosis;35
Craniotabes;1
Creatine transporter defect;4
CREST syndrome;23
Cretinism;2
Creutzfeldt–Jakob disease;28
Cri du chat;15
Cri du chat syndrome;23
Crigler–Najjar syndrome;11
Crimean–Congo hemorrhagic fever;17
Critical illness polyneuropathy;15
Crohn's disease;72
Cronkhite–Canada syndrome;5
Croup;17
Crouzon syndrome;7
Cryofibrinogenemia;16
Cryoglobulinemia;25
Cryopyrin-associated periodic syndrome;21
Cryptococcosis;11
Cryptogenic organizing pneumonia;16
Cryptomenorrhea;7
Cryptorchidism;16
Cryptosporidiosis;28
Crystal arthropathy;3
Cushing ulcer;3
Cushing's disease;24
Cushing's syndrome;39
Cutaneous horn;2
Cutaneous larva migrans;5
Cutaneous leishmaniasis;9
Cutaneous small-vessel vasculitis;33
Cutaneous T cell lymphoma;3
Cutis laxa;2
Cutis marmorata telangiectatica congenita;21
Cyanide poisoning;21
Cyclaneusma needle cast;2
Cyclic vomiting syndrome;16
Cyclopia;6
Cyclothymia;37
Cystic fibrosis;38
Cystic fibrosis-related diabetes;2
Cystic hygroma;5
Cystic kidney disease;4
Cystic nephroma;5
Cystic tumour of the atrioventricular nodal region;1
Cysticercosis;23
Cystinosis;8
Cystinuria;13
Cystocele;19
Cysts of the jaws;4
Cytokine release syndrome;20
Cytomegalic inclusion body disease;12
Cytomegalovirus colitis;2
Cytomegalovirus retinitis;2
D-bifunctional protein deficiency;2
Da Costa's syndrome;6
Dacryoadenitis;5
Dacryocystitis;3
Damp (structural);2
Damping off;2
Dandruff;12
Dandy–Walker syndrome;14
Danon disease;8
Darier's disease;1
De Quervain syndrome;7
De Quervain's thyroiditis;15
Decompression sickness;39
Deep vein thrombosis;20
Deficiency of the interleukin-1–receptor antagonist;3
Deformity;3
Degenerative disc disease;15
Degos disease;18
Dehydration;14
Dejerine–Roussy syndrome;12
Dejerine–Sottas disease;8
Delayed onset muscle soreness;6
Delayed puberty;14
Delayed sleep phase disorder;10
Delirium;51
Delirium tremens;24
Delta-beta thalassemia;3
Delusional disorder;12
Delusional parasitosis;14
Dementia;73
Dementia praecox;6
Dementia with Lewy bodies;73
Demodicosis;15
Demyelinating disease;14
Denervation;12
Dengue fever;42
Dent's disease;7
Dental abscess;12
Dental fluorosis;4
Dentatorubral-pallidoluysian atrophy;5
Dentin dysplasia;1
Dentin hypersensitivity;11
Dentinogenesis imperfecta;2
Denture-related stomatitis;14
Denys–Drash syndrome;8
Dependent personality disorder;12
Depersonalization disorder;19
Dermatitis;25
Dermatitis herpetiformis;16
Dermatochalasis;3
Dermatofibrosarcoma protuberans;4
Dermatographic urticaria;9
Dermatomyositis;16
Dermatophytosis;10
Dermoid cyst;1
Desmin-related myofibrillar myopathy;4
Desquamative gingivitis;5
Developmental coordination disorder;11
Developmental disability;1
Developmental disorder;6
