cui;medical_term;semantic_types
C0001546;Adjustment disorder, NOS;mobd
C0001614;Disease of adrenal cortex;dsyn
C0001621;Disease of adrenal gland, NOS;dsyn
C0001622;Overproduction of cortisol;dsyn
C0001623;Adrenal insufficiency;dsyn
C0001627;Congenital adrenal hyperplasia;cgab,dsyn
C0001707;Aerophagy;mobd
C0001721;Affect, NOS;menp
C0001723;Affective psychoses;mobd
C0001733;Afibrinogenemia;dsyn
C0001762;Afterimage;menp
C0001802;Agglutination procedure, NOS;lbpr
C0001807;Aggressive behavior;mobd
C0001816;Agnosia;mobd
C0001818;Agoraphobia;mobd
C0001824;Agranulocytosis;dsyn
C0001825;Agraphia;mobd
C0001849;AIDS with dementia;dsyn
C0001860;Ainhum;dsyn
C0001882;Air sickness;dsyn
C0001883;Airway obstruction, NOS;dsyn
C0001889;Akinetic mutism;dsyn
C0001906;Variola minor;dsyn
C0001916;Albinism;cgab
C0001925;Albuminuria;fndg
C0001940;Alcohol amnestic disorder;mobd
C0001957;Alcohol withdrawal delirium;dsyn
C0001969;Alcohol intoxication;mobd
C0001973;Alcohol dependence;mobd
C0002018;Alexia;mobd
C0002020;Alexithymia;sosy
C0002063;Alkalosis;dsyn
C0002064;Respiratory alkalosis;patf
C0002066;Alkaptonuria;dsyn
C0002170;Alopecia;dsyn
C0002171;Alopecia areata;dsyn
C0002173;Follicular mucinosis;dsyn
C0002182;Traumatic alopecia;dsyn
C0002312;alpha Thalassemia, NOS;dsyn
C0002351;Hypobaropathy NOS;dsyn
C0002382;Alveolar bone loss;dsyn
C0002390;Extrinsic allergic alveolitis;dsyn
C0002395;Alzheimer disease;dsyn
C0002416;Ambidexterity;fndg
C0002418;Amblyopia;dsyn
C0002438;Amebiasis;dsyn
C0002441;Amebiasis of skin;dsyn
C0002445;Ameboma;dsyn
C0002447;Amelia;cgab
C0002452;Amelogenesis imperfecta;cgab
C0002453;Amenorrhea;dsyn
C0002622;Amnesia;mobd
C0002623;Post-traumatic amnesia;mobd
C0002624;Retrograde amnesia;mobd
C0002625;Amnestic disorder, NOS;mobd
C0002627;Amniocentesis;diap
C0002636;Amniotic band syndrome;dsyn
C0002726;Amyloidosis;dsyn
C0002736;Amyotrophic lateral sclerosis;dsyn
C0002768;Congenital indifference to pain;cgab
C0002778;Analysis;lbpr
C0002792;Anaphylaxis;patf
C0002797;Anaplasmosis, NOS;dsyn
C0002831;Ancylostomiasis;dsyn
C0002871;Anemia;dsyn
C0002873;Anemia of chronic disease;dsyn
C0002874;Aplastic anaemia NOS;dsyn
C0002875;Cooley's anemia;dsyn
C0002876;Congenital dyserythropoietic anemia;cgab,dsyn
C0002878;Hemolytic anemia, NOS;dsyn
C0002879;Acquired haemolytic anaemia NOS;dsyn
C0002880;Autoimmune hemolytic anemia;dsyn
C0002881;Congenital hemolytic anemia;dsyn
C0002882;Congenital nonspherocytic hemolytic anemia;dsyn
C0002886;Macrocytic anemia;dsyn
C0002888;Megaloblastic anaemia NOS;dsyn
C0002890;Leukoerythroblastic anemia;dsyn
C0002892;Pernicious anemia, NOS;dsyn
C0002893;Refractory anaemia;dsyn
C0002895;Sickle cell anaemia NOS;dsyn
C0002896;Sideroblastic anemia;dsyn
C0002902;Anencephaly;cgab
C0002940;Aneurysm;dsyn
C0002949;Dissecting aneurysm;dsyn
C0002950;Inflammatory aneurysm;dsyn
C0002957;Anger;menp
C0002962;Angina pectoris NOS;fndg
C0002963;Variant angina pectoris;dsyn
C0002965;Unstable angina;dsyn
C0002978;Angiogram;diap
C0002979;Digital subtraction angiography;diap
C0002986;Fabry disease;dsyn
C0002992;Angiomatosis;dsyn
C0002994;Angioedema;patf
C0003028;Anhidrosis;dsyn
C0003076;Aniridia;cgab
C0003078;Aniseikonia;sosy
C0003079;Anisocoria;fndg
C0003081;Anisometropia;dsyn
C0003090;Ankylosis;acab,dsyn
C0003113;Anomia;mobd
C0003119;Anophthalmos;cgab
C0003123;Anorexia;dsyn
C0003125;Anorexia nervosa;mobd
C0003126;Anosmia;sosy
C0003128;Anovulation;dsyn
C0003130;Anoxia;patf
C0003132;Anoxic encephalopathy;patf
C0003152;Anterior compartment syndrome;dsyn
C0003165;Anthracosis;dsyn
C0003175;Anthrax NOS;dsyn
C0003177;Cutaneous anthrax;dsyn
C0003431;Antisocial personality disorder;mobd
C0003460;Anuria;dsyn
C0003466;Imperforate anus NOS;cgab,dsyn
C0003467;Anxiety;mobd
C0003469;Anxiety disorder;mobd
C0003477;Separation anxiety disorder;mobd
C0003486;Aortic aneurysm NOS;dsyn
C0003492;Aortic coarctation;cgab
C0003493;Disorder of aorta;dsyn
C0003499;Supravalvar aortic stenosis;dsyn
C0003504;Aortic valve insufficiency, NOS;dsyn
C0003507;Aortic valve stenosis, NOS;dsyn
C0003509;Aortitis;dsyn
C0003511;Syphilitic aortitis;dsyn
C0003515;Aortography;diap
C0003516;Aortopulmonary septal defect;cgab
C0003537;Aphasia;mobd
C0003550;Broca's aphasia;mobd
C0003564;Aphonia;sosy
C0003578;Apnea;patf
C0003615;Appendicitis;dsyn
C0003635;Apraxia, NOS;mobd
C0003706;Arachnodactyly;cgab
C0003708;Arachnoiditis;dsyn
C0003723;Arbovirus infection, NOS;dsyn
C0003742;Arcus senilis;anab,dsyn
C0003803;Arnold-Chiari malformation;cgab
C0003808;Arousal;menp
C0003811;Cardiac arrhythmia;fndg
C0003813;Sinus arrhythmia;fndg
C0003834;Arterial insufficiency;dsyn
C0003844;Arteriography;diap
C0003850;Arteriosclerosis;dsyn
C0003857;Congenital arteriovenous malformation;cgab,dsyn
C0003860;Arteritis;patf
C0003862;Arthralgia;sosy
C0003864;Arthritis;dsyn
C0003868;Gouty arthritis, NOS;dsyn
C0003869;Septic arthritis;dsyn
C0003872;Psoriatic arthritis;dsyn
C0003873;Rheumatoid arthritis NOS;dsyn
C0003875;Viral arthritis;dsyn
C0003885;Arthrogram;diap
C0003886;Arthrogryposis;dsyn
C0003892;Charcot's joint;dsyn
C0003904;Arthroscopy;diap
C0003907;Arthus reaction;dsyn
C0003910;Articulation disorder;mobd
C0003949;Asbestosis;dsyn
C0003950;Ascariasis;dsyn
C0003962;Ascites;fndg
C0003969;Ascorbic acid deficiency;dsyn
C0004030;Aspergillosis;dsyn
C0004031;Allergic bronchopulmonary aspergillosis;dsyn
C0004044;Asphyxia;patf
C0004045;Asphyxia neonatorum;dsyn
C0004083;Association;menp
C0004090;Astasia-abasia;mobd
C0004093;Asthenia;sosy
C0004095;Asthenopia;dsyn
C0004096;Asthma;dsyn
C0004099;Exercise-induced asthma;dsyn
C0004106;Astigmatism;dsyn
C0004134;Ataxia;sosy
C0004135;Ataxia telangiectasia;dsyn
C0004138;Hereditary ataxia;dsyn
C0004144;Atelectasis;patf
C0004153;Atherosclerosis;dsyn
C0004158;Athetosis;sosy
C0004238;Atrial fibrillation;dsyn
C0004239;Atrial flutter;patf
C0004245;Atrioventricular block NOS;dsyn
C0004268;Attention;menp
C0004271;Attitude;menp
C0004286;Audiometry;diap
C0004290;Evoked response audiometry;diap
C0004292;Pure tone audiometry;diap
C0004293;Speech audiometry;diap
C0004310;Auditory processing disorder;mobd
C0004331;Atrioventricular dissociation;patf
C0004339;Auscultation;diap
C0004352;Autistic disorder, NOS;mobd
C0004364;Autoimmune disease NOS;dsyn
C0004368;Autoimmune state;patf
C0004377;Automatism;fndg
C0004398;Autopsy;diap
C0004444;Avoidant personality disorder;mobd
C0004448;Awareness;menp
C0004509;Azoospermia;dsyn
C0004576;Babesiosis;dsyn
C0004604;Back pain;sosy
C0004606;Nonproliferative diabetic retinopathy;dsyn
C0004610;Bacteremia;dsyn
C0004618;Bacterial count;lbpr
C0004623;Bacterial infection NOS;dsyn
C0004626;Bacterial pneumonia NOS;dsyn
C0004659;Bacteriuria;dsyn
C0004681;Bagassosis;dsyn
C0004690;Balanitis;dsyn
C0004691;Balanoposthitis;dsyn
C0004698;Balkan nephropathy;dsyn
C0004712;Balo concentric sclerosis;dsyn
C0004763;Barrett esophagus;dsyn
C0004766;Abscess of Bartholin's gland;patf
C0004767;Cyst of Bartholin's gland duct;dsyn
C0004771;Bartonellosis;dsyn
C0004775;Bartter syndrome;dsyn
C0004903;Beckwith-Wiedemann syndrome;cgab,dsyn
C0004930;Behavior disorder;mobd
C0004936;Mental disorders NOS;mobd
C0004943;Behcet's syndrome;dsyn
C0004945;Bejel;dsyn
C0004968;Bence-Jones proteinuria;fndg
C0005001;Benign prostatic hypertrophy;patf
C0005122;Beriberi;dsyn
C0005129;Bernard Soulier syndrome;dsyn
C0005136;Berry aneurysm;anab,dsyn
C0005283;beta Thalassemia;dsyn
C0005395;Disease of bile duct;dsyn
C0005398;Extrahepatic cholestasis;dsyn
C0005411;Biliary atresia NOS;cgab,dsyn
C0005416;Biliary dyskinesia;dsyn
C0005417;Biliary fistula;patf
C0005424;Disease of biliary tract;dsyn
C0005461;Binocular vision disorder;dsyn
C0005507;Bioassay, NOS;lbpr
C0005558;Biopsy;diap
C0005560;Needle biopsy;diap
C0005586;Bipolar disorder;mobd
C0005587;Bipolar affective disorder, current episode depression;mobd
C0005592;Bird-fancier's lung;dsyn
C0005600;Birth certificate;inpr
C0005603;Birth history;fndg
C0005681;Blackwater fever;dsyn
C0005683;Bladder calculus NOS;dsyn
C0005686;Disease of bladder;dsyn
C0005687;Bladder distention;fndg
C0005689;Exstrophy of bladder;dsyn
C0005694;Bladder neck obstruction;dsyn
C0005697;Neurogenic bladder;dsyn
C0005716;Blastomycosis;dsyn
C0005729;Bleeding time;lbpr
C0005741;Blepharitis;dsyn
C0005742;Blepharochalasis;dsyn
C0005743;Blepharoconjunctivitis;dsyn
C0005747;Blepharospasm;dsyn
C0005750;Blind loop syndrome, NOS;dsyn
C0005754;Congenital blindness;cgab
C0005758;Bulla;patf
C0005771;Blood cell count;lbpr
C0005774;Chemistry - blood;lbpr
C0005779;Blood coagulation disorder;dsyn
C0005790;Blood coagulation test;lbpr
C0005800;Blood gas analysis;lbpr
C0005818;Thrombocytopathy, NOS;dsyn
C0005826;Abnormal blood pressure;fndg
C0005834;Blood sampling;diap
C0005844;Blood grouping;lbpr
C0005845;Blood urea nitrogen measurement;lbpr
C0005858;Bloodshot eye;sosy
C0005859;Bloom syndrome;cgab,dsyn
C0005874;Blushing;sosy
C0005887;Body dysmorphic disorder;mobd
C0005891;Body image;menp
C0005911;Weight change;fndg
C0005933;Biopsy of bone;diap
C0005937;Bone cyst;anab,dsyn
C0005940;Bone disease, NOS;dsyn
C0005941;Disorder of bone development;dsyn
C0005944;Metabolic disorder of bone;dsyn
C0005954;Bone marrow biopsy;diap
C0005956;Bone marrow disorder;dsyn
C0005957;Bone marrow examination NOS;lbpr
C0006002;Book;inpr
C0006009;Borderline mental retardation (I.Q. 70-85);mobd
C0006012;Borderline personality disorder;mobd
C0006019;Boredom;menp
C0006035;Borreliosis;dsyn
C0006091;Brachial plexus lesion;dsyn
C0006105;Brain abscess;dsyn
C0006109;Chronic brain syndrome, NOS;dsyn
C0006111;Disease of brain;dsyn
C0006112;Metabolic brain syndrome, NOS;dsyn
C0006114;Cerebral edema;patf
C0006123;Branch retinal artery occlusion;dsyn
C0006131;Branchioma;cgab
C0006145;Disease of breast, NOS;dsyn
C0006153;Breath test;diap
C0006157;Breech presentation NOS;patf
C0006181;Brill-Zinsser disease;dsyn
C0006261;Disorder of bronchus;dsyn
C0006266;Bronchial spasm;dsyn
C0006267;Bronchiectasis;dsyn
C0006271;Bronchiolitis;dsyn
C0006272;Bronchiolitis obliterans;dsyn
C0006277;Bronchitis;dsyn
C0006281;Congenital bronchogenic cyst;cgab
C0006282;Contrast bronchogram;diap
C0006285;Bronchopneumonia;dsyn
C0006287;Bronchopulmonary dysplasia;dsyn
C0006288;Pulmonary sequestration;cgab
C0006290;Bronchoscopy;diap
C0006309;Brucellosis;dsyn
C0006318;Bruit;fndg
C0006325;Bruxism;mobd
C0006370;Bulimia;mobd
C0006384;Bundle branch block, NOS;dsyn
C0006430;Burning mouth syndrome;dsyn
C0006444;Bursitis;dsyn
C0006542;Byssinosis;dsyn
C0006625;Cachexia;sosy
C0006663;Calcinosis;patf
C0006664;Calcinosis cutis;dsyn
C0006666;Calciphylaxis;dsyn
C0006778;Caloric test;diap
C0006818;Campylobacteriosis;dsyn
C0006840;Candidiasis;dsyn
C0006845;Chronic mucocutaneous candidiasis;dsyn
C0006846;Candidiasis of skin;dsyn
C0006849;Oral candidiasis;dsyn
C0006852;Candidiasis of vagina;dsyn
C0006870;Cannabis dependence;mobd
C0006895;Capgras syndrome;mobd
C0006902;Capillaritis;dsyn
C0006915;Caplan's syndrome;dsyn
C0007078;Carbuncle NOS;dsyn
C0007093;Carcinoid heart disease;dsyn
C0007166;Decreased cardiac output;fndg
C0007177;Tamponade, cardiac;dsyn
C0007192;Alcoholic cardiomyopathy;dsyn
C0007193;Dilated cardiomyopathy;dsyn
C0007194;Hypertrophic cardiomyopathy;dsyn
C0007196;Restrictive cardiomyopathy;dsyn
C0007222;Cardiovascular disease, NOS;dsyn
C0007273;Carotid artery disease;dsyn
C0007282;Stenosis, carotid artery;dsyn
C0007283;Carotene pigmentation of skin;dsyn
C0007286;Carpal tunnel syndrome;dsyn
C0007294;Genetic disorder carrier;fndg
C0007361;Cat scratch disease;dsyn
C0007384;Cataplexy;dsyn
C0007398;Catatonia;mobd
C0007438;Swan-Ganz catheterization;diap
C0007462;Causalgia;dsyn
C0007570;Celiac disease NOS;dsyn
C0007584;Cell count;lbpr
C0007642;Cellulitis;patf
C0007682;CNS disorder;dsyn
C0007684;Infectious disease of central nervous system;dsyn
C0007686;Central opacity of cornea;fndg
C0007703;Centrifugation;lbpr
C0007758;Cerebellar ataxia NOS;sosy
C0007760;Cerebellar disease;dsyn
C0007766;Intracranial aneurysm;dsyn
C0007767;Arteriography of cerebral arteries;diap
C0007780;Cerebral embolism;dsyn
C0007785;Cerebral infarction NOS;dsyn
C0007786;Ischemic encephalopathy;dsyn
C0007787;Transient ischemic attack;dsyn
C0007789;Cerebral palsy, NOS;dsyn
C0007795;Encephalitis periaxialis concentrica;dsyn
C0007815;Cerebrospinal fluid rhinorrhea;dsyn
C0007820;Cerebrovascular disease NOS;dsyn
C0007856;Cervical rib syndrome;dsyn
C0007859;Neck pain NOS;sosy
C0007860;Cervicitis, NOS;dsyn
C0007863;Cervico-occipital neuralgia;dsyn
C0007867;Disease of cervix;dsyn
C0007868;Cervical dysplasia;dsyn
C0007871;Incompetence of cervix;patf
C0007894;Cestode infection NOS;dsyn
C0007933;Meibomian cyst;dsyn
C0007939;Syphilitic chancre;sosy
C0007947;Chancroid;dsyn
C0007959;Charcot-Marie-Tooth disease;dsyn
C0007965;Chediak-Higashi syndrome;dsyn
C0007971;Cheilitis;dsyn
C0008029;Cherubism;dsyn
C0008031;Chest pain NOS;sosy
C0008033;Pleuritic pain;sosy
C0008035;Chest wall pain;sosy
C0008039;Cheyne Stokes respiration;sosy
C0008049;Chickenpox;dsyn
C0008055;Chikungunya fever;dsyn
C0008058;Chilblains;dsyn
C0008060;Child abuse;mobd
C0008073;Developmental disorder;mobd
C0008149;Chlamydial infection;dsyn
C0008272;Asiderotic anemia;dsyn
C0008297;Choanal atresia NOS;cgab,dsyn
C0008301;Choking;patf
C0008307;Cholangiography;diap
C0008310;Endoscopic retrograde cholangiopancreatography;diap
C0008311;Cholangitis;dsyn
C0008312;Primary biliary cirrhosis;dsyn
C0008313;Sclerosing cholangitis;dsyn
C0008325;Cholecystitis;dsyn
C0008340;Choledochal cyst;cgab,dsyn
C0008350;Cholelithiasis;dsyn
C0008354;Cholera;dsyn
C0008370;Cholestasis;dsyn
C0008372;Intrahepatic cholestasis;dsyn
C0008373;Cholesteatoma;dsyn
C0008384;Cholesterol ester storage disease;dsyn
C0008439;Chondritis;dsyn
C0008445;Chondrodysplasia punctata, NOS;cgab,dsyn
C0008449;Congenital anomaly of cartilage;dsyn
C0008475;Chondromalacia patellae;dsyn
C0008489;Chorea;dsyn
C0008495;Chorioamnionitis;patf
C0008509;Sampling of chorionic villus;diap
C0008513;Chorioretinitis;dsyn
C0008519;Ectopic tissue, NOS;patf
C0008525;Choroideremia;dsyn
C0008526;Choroiditis;dsyn
C0008533;Hemophilia B;dsyn
C0008555;Gas chromatography measurement, NOS;lbpr
C0008556;Gas-liquid chromatography;lbpr
C0008562;High pressure liquid chromatography;lbpr
C0008565;Liquid chromatography measurement, NOS;lbpr
C0008582;Chromoblastomycosis;dsyn
C0008626;Congenital chromosomal disease;cgab,dsyn
C0008677;Chronic bronchitis NOS;dsyn
C0008679;Chronic disease;dsyn
C0008680;Cryptogenic pulmonary eosinophilia;dsyn
C0008690;Chronic anterior uveitis;dsyn
C0008698;Chronic maxillary sinusitis;dsyn
C0008707;Chronic osteomyelitis;dsyn
C0008712;Chronic sphenoidal sinusitis;dsyn
C0008728;Churg Strauss syndrome;dsyn
C0008732;Chylous ascites;dsyn
C0008733;Chylothorax;dsyn
C0008767;Cicatrization;patf
C0008909;Claustrophobia;mobd
C0008924;Cleft lip NOS;cgab
C0008925;Cleft palate NOS;cgab,dsyn
C0008928;Cleidocranial dysplasia;cgab,dsyn
C0009021;Clonorchiasis;dsyn
C0009024;Clonus;sosy
C0009062;Clostridium infection;dsyn
C0009081;Congenital clubfoot;cgab
C0009084;Cluster A personality disorder;mobd
C0009086;Cluster B personality disorder;mobd
C0009088;Cluster headache;dsyn
C0009090;Cluttering;sosy
C0009144;Furred tongue;fndg
C0009171;Cocaine abuse;mobd
C0009178;Cocaine withdrawal;dsyn
C0009186;Coccidioidomycosis;dsyn
C0009187;Coccidiosis;dsyn
C0009193;Pain in the coccyx;sosy
C0009207;Cockayne syndrome;dsyn
C0009225;Coenuriasis;dsyn
C0009240;Cognition;menp
C0009241;Cognitive disorder;mobd
C0009254;Coitus interruptus;fndg
C0009269;Cold intolerance;sosy
C0009270;Cold panniculitis;dsyn
C0009319;Colitis;dsyn
C0009324;Ulcerative colitis, NOS;dsyn
C0009326;Collagen diseases;dsyn
C0009363;Congenital ocular coloboma (disorder);cgab
C0009373;Disorder of colon;dsyn
C0009377;Primary chronic pseudo-obstruction of colon;dsyn
C0009378;Colonoscopy, NOS;diap
C0009398;Color vision deficiency;dsyn
C0009400;Colorado tick fever;dsyn
C0009417;Colposcopy;diap
C0009421;Comatose;dsyn
C0009443;Common cold;dsyn
C0009447;Common variable immunodeficiency;dsyn
C0009450;Communicable disease;dsyn
C0009451;Communicating hydrocephalus;dsyn
C0009460;Communication disorder, NOS;mobd
C0009492;Compartment syndrome, NOS;dsyn
C0009541;Complement fixation test, NOS;lbpr
C0009542;CH50 assay;lbpr
C0009555;Complete blood count;lbpr
C0009566;Complication;patf
C0009592;Compression of brain;dsyn
C0009595;Anancastic personality;mobd
C0009647;Conditioning, NOS;menp
C0009651;Operant conditioning;menp
C0009663;Condylomata acuminata;dsyn
C0009676;Confusion;mobd
C0009677;Congenital macroglossia;cgab
C0009691;Congenital cataract;cgab
C0009701;Congenital dislocation;cgab
C0009702;Unilateral congenital dislocation of hip;cgab
C0009714;Congenital hepatic fibrosis;cgab,dsyn
C0009730;Spinal meningocele;cgab,dsyn
C0009759;Disorder of conjunctiva;dsyn
C0009760;Conjunctival hemorrhage;patf
C0009763;Conjunctivitis;dsyn
C0009765;Acute hemorrhagic conjunctivitis;dsyn
C0009766;Allergic conjunctivitis;dsyn
C0009768;Bacterial conjunctivitis;dsyn
C0009770;Inclusion conjunctivitis;dsyn
C0009774;Viral conjunctivitis;dsyn
C0009782;Connective tissue diseases;dsyn
C0009789;Consanguinity;fndg
C0009791;Consciousness related finding;fndg
C0009806;Constipation;sosy
C0009814;Acquired stenosis;patf
C0009928;Contrast sensitivity;menp
C0009940;Convalescence;fndg
C0009946;Conversion disorder;mobd
C0009952;Febrile convulsions;dsyn
C0009961;Coombs test;lbpr
C0009983;Coprophagia;mobd
C0009995;Cor triatriatum;cgab
C0010034;Disorder of cornea;dsyn
C0010036;Corneal dystrophy;dsyn
C0010037;Corneal edema;dsyn
C0010038;Corneal opacity, NOS;fndg
C0010043;Corneal ulcer NOS;dsyn
C0010051;Aneurysm of coronary vessels;anab,dsyn
C0010054;Coronary arteriosclerosis;dsyn
C0010068;Coronary heart disease;dsyn
C0010072;Coronary thrombosis;dsyn
C0010073;Coronary artery spasm;dsyn
C0010093;Corpus luteum cyst NOS;dsyn
C0010200;Coughing;sosy
C0010201;Chronic cough;sosy
C0010214;Countercurrent electrophoresis measurement;lbpr
C0010232;Cowpox;dsyn
C0010246;Coxsackie virus disease;dsyn
C0010261;Cracked tooth syndrome;fndg
C0010266;Disorder of cranial nerve;dsyn
C0010269;Cranial neuralgia;dsyn
C0010273;Craniofacial dysostosis;cgab
C0010278;Craniosynostosis;cgab,dsyn
C0010308;Congenital hypothyroidism NOS;cgab,dsyn
C0010314;Cri du chat syndrome;cgab,dsyn
C0010324;Crigler-Najjar syndrome, NOS;dsyn
C0010346;Crohn's disease NOS;dsyn
C0010356;Cross infection;patf
C0010367;Cross-match;lbpr
C0010380;Croup;dsyn
C0010392;Crush syndrome;patf
C0010403;Cryoglobulinemia;dsyn
C0010405;Cryopreservation;lbpr
C0010414;Infection by Cryptococcus neoformans;dsyn
C0010417;Cryptorchidism;cgab
C0010418;Cryptosporidiosis;dsyn
C0010481;Cushing's syndrome NOS;dsyn
C0010495;Cutis laxa, NOS;dsyn
C0010520;Cyanosis;sosy
C0010598;Cyclothymic disorder;mobd
C0010626;Embryonic cyst;cgab
C0010666;Cystic acne;dsyn
C0010668;Congenital cystic adenomatoid malformation of lung;cgab
C0010674;Cystic fibrosis NOS;dsyn
C0010678;Cysticercosis;dsyn
C0010691;Cystinuria;dsyn
C0010692;Cystitis;dsyn
C0010695;Cystocele;acab,dsyn
C0010702;Cystoscopy;diap
C0010707;Transurethral cystoscopy (procedure);diap
C0010709;Cyst;dsyn
C0010823;Cytomegalovirus infection;dsyn
C0010828;Cytopenia;patf
C0010840;Vacuolation;fndg
C0010930;Dacryocystitis;patf
C0010964;Dandy - Walker syndrome;dsyn
C0011053;Deafness;fndg
C0011057;Sudden hearing loss, NOS;fndg
C0011071;Sudden death;patf
C0011103;Decerebrate rigidity;patf
C0011109;Decision making;menp
C0011119;Decompression sickness;dsyn
C0011124;Decreased libido;sosy
C0011127;Pressure ulcer;dsyn
C0011142;Ego defense mechanisms;menp
C0011164;Degeneration, NOS;patf
C0011168;Dysphagia, NOS;dsyn
C0011175;Dehydration;dsyn
C0011194;Deja vu;menp
C0011195;Dejerine-Sottas disease;dsyn
C0011206;Delirium;mobd
C0011226;Hepatitis D infection;dsyn
C0011251;Delusional disorder;mobd
C0011253;Delusions;mobd
C0011263;Multi-infarct dementia;dsyn
C0011265;Presenile dementia;mobd
C0011269;Vascular dementia, NOS;dsyn
C0011302;Demyelinating disease of central nervous system;dsyn
C0011304;Demyelination;patf
C0011311;Dengue fever;dsyn
C0011317;Denial;mobd
C0011330;Dental calculus, NOS;fndg
C0011334;Dental caries;dsyn
C0011351;Enamel agenesis;cgab
C0011389;Dental plaque;dsyn
C0011401;Pulp calcification;dsyn
C0011407;Pulp necrosis;dsyn
C0011430;Dentin dysplasia;dsyn
C0011432;Dentine sensitivity;dsyn
C0011434;Secondary dentin;dsyn
C0011436;Dentinogenesis imperfecta;cgab,dsyn
C0011548;Dependent personality disorder;mobd
C0011551;Depersonalization;mobd
C0011560;Amyloid deposition;patf
C0011570;Depression NOS;mobd
C0011581;Depressive disorder;mobd
C0011586;Stereopsis;menp
C0011603;Dermatitis;dsyn
C0011606;Exfoliative dermatitis;dsyn
C0011608;Dermatitis herpetiformis;dsyn
C0011609;Drug eruption, NOS;dsyn
C0011615;Atopic dermatitis NOS;dsyn
C0011616;Dermatitis - contact;dsyn
C0011620;Stasis dermatitis;dsyn
C0011630;Dermatomycosis NOS;dsyn
C0011633;Dermatomyositis;dsyn
C0011636;Dermatophytosis;dsyn
C0011644;Scleroderma;dsyn
C0011757;Developmental coordination disorder;mobd
C0011813;Dextrocardia;cgab
C0011848;Diabetes insipidus, NOS;dsyn
C0011849;Diabetes mellitus, NOS;dsyn
C0011854;Insulin-dependent diabetes mellitus;dsyn
C0011859;Lipoatrophic diabetes;dsyn
C0011860;Non-insulin-dependent diabetes mellitus;dsyn
C0011880;Diabetic ketoacidosis;dsyn
C0011881;Diabetic nephropathy;dsyn
C0011882;Diabetic neuropathy;dsyn
C0011884;Diabetic retinopathy NOS;dsyn
C0011900;Diagnosis;fndg
C0011906;Differential diagnosis;diap
C0011911;Laboratory diagnosis;diap
C0011923;Diagnostic imaging;diap
C0011974;Diaper rash;dsyn
C0011989;Camurati-Engelmann syndrome;dsyn
C0011991;Diarrhea;sosy
C0011999;Diastematomyelia;cgab,dsyn
C0012154;Diestrus;fndg
C0012236;DiGeorge syndrome;dsyn
C0012241;Congenital anomaly of gastrointestinal tract;cgab
C0012242;Disorder of digestive system;dsyn
C0012359;Dilatation, NOS;patf
C0012546;Diphtheria;dsyn
C0012557;Laryngeal diphtheria;dsyn
C0012561;Diphyllobothriasis;dsyn
C0012569;Diplopia;fndg
C0012602;Dirofilariasis;dsyn
C0012619;Disc disorders NOS;dsyn
C0012624;Discitis;dsyn
C0012632;Discrimination;menp
C0012634;Disease;dsyn
C0012714;Disorder of copper metabolism;dsyn
C0012734;Disruptive behavior disorder;mobd
